market,source_id,gate,horizon,window,dates,mean_ret,median_ret,mean_excess,median_excess,dates_beating_market,excess_t_descriptive
crypto,crypto.tv_rsi45,rsi45_only,5,recent,16,-0.0120675066271996,-0.01885036634299038,-0.005116716489794506,-0.0020383010438710806,0.5,-1.112288623463705
crypto,crypto.tv_rsi45,rsi45_only,20,earlier,55,-0.1208551445026619,-0.11446930660727168,-0.030495567707037624,-0.02286123746265689,0.2909090909090909,-4.981719459057355
crypto,crypto.tv_rsi45,rsi45_only,20,recent,1,0.0002518688281213155,0.0002518688281213155,-0.0811291273394071,-0.0811291273394071,0.0,
kr,kr.cheap_value,A_strong,5,earlier,1,-0.0038314176245211,-0.0038314176245211,-0.022908235041864802,-0.022908235041864802,0.0,
kr,kr.cheap_value,A_strong,20,earlier,1,-0.0063856960408684,-0.0063856960408684,-0.0769897386430875,-0.0769897386430875,0.0,
kr,kr.cheap_value,B_moderate2,5,earlier,36,0.01687965275519304,0.005428080071951811,0.03987767702169851,0.04327534458183227,0.8611111111111112,4.958015837552178
kr,kr.cheap_value,B_moderate2,5,recent,10,0.02914572702621245,0.04002790085191178,-0.020331857876937014,-0.013731323533626473,0.2,-1.3347005692749234
kr,kr.cheap_value,B_moderate2,20,earlier,32,0.04676334982902054,0.03565038057221827,0.13266077831281908,0.1395160484971389,0.96875,7.125801085303932
kr,kr.cheap_value,none,5,earlier,36,0.0074094410144551264,-0.0073983576770333005,0.03040746528096061,0.027161170015257845,0.7777777777777778,4.462292648898104
kr,kr.cheap_value,none,5,recent,11,0.02442479741205946,0.03551268076666094,-0.01818045934127382,-0.01819941462405595,0.36363636363636365,-1.9504905131292416
kr,kr.cheap_value,none,20,earlier,32,0.012549075936953934,0.015564542379252054,0.0984465044207525,0.13304130640836143,0.96875,9.216332049678762
kr,kr.consecutive_gainers,A_strong,5,earlier,3,0.0005799681363852166,0.00057109090360505,-0.002326776263121017,-0.00888744849576905,0.3333333333333333,-0.2206992466118233
kr,kr.consecutive_gainers,A_strong,20,earlier,3,0.00243567665616235,0.002455566183976,0.10144667433629621,0.10876155722143299,1.0,13.778774411160983
kr,kr.consecutive_gainers,B_moderate2,5,earlier,5,-0.022805193911374082,0.0005692101662212,0.0077448238592617985,-0.008176611761497565,0.4,0.5981269808363522
kr,kr.consecutive_gainers,B_moderate2,20,earlier,5,-0.0068794282733091626,0.002455566183976,0.10042621703967362,0.10876155722143299,1.0,14.398703565884409
kr,kr.consecutive_gainers,none,5,earlier,36,-0.011161996375825716,1.8883215193593876e-05,0.01183602789067977,0.006296877971798566,0.5,0.9432707520810383
